Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Santa Rosa County Sheriff's Office,County,FLORIDA,Santa Rosa County,Task Force Model,"Feb 26, 2025","County: Santa Rosa County, FLORIDA",207653
Charlotte County Sheriff's Office,County,FLORIDA,Charlotte County,Task Force Model,"Feb 26, 2025","Punta Gorda, FLORIDA 33950",212122
Hernando County Sheriff's Office,County,FLORIDA,Hernando County,Task Force Model,"Feb 26, 2025","Brooksville, FLORIDA 34601",218150
Okaloosa County Board of County Commissioners/ Department of Corrections,County,FLORIDA,Okaloosa County,Warrant Service Officer,"Feb 26, 2025","Crestview, FLORIDA 32536",220483
Okaloosa County Sheriff's Office,County,FLORIDA,Okaloosa County,Task Force Model,"Feb 26, 2025","Crestview, FLORIDA 32536",220483
Clay County Sheriff's Office,County,FLORIDA,Clay County,Task Force Model,"Feb 26, 2025","Green Cove Springs, FLORIDA 32043",236760
Alachua County Sheriff's Office,County,FLORIDA,Alachua County,Task Force Model,"Feb 26, 2025","Gainesville, FLORIDA 32601",291782
Leon County Sheriff's Office,County,FLORIDA,Leon County,Task Force Model,"Feb 26, 2025","Tallahassee, FLORIDA 32301",300488
Escambia County Board of County Commissioners/ Department of Corrections,County,FLORIDA,Escambia County,Warrant Service Officer,"Feb 26, 2025","Pensacola, FLORIDA 32501",331275
Escambia County Sheriff's Office,County,FLORIDA,Escambia County,Task Force Model,"Feb 26, 2025","Pensacola, FLORIDA 32501",331275
St. Johns County Sheriff's Office,County,FLORIDA,St. Johns County,Task Force Model,"Feb 26, 2025","St. Augustine, FLORIDA 32084",334928
St. Lucie County Sheriff's Office,County,FLORIDA,St. Lucie County,Task Force Model,"Feb 26, 2025","Fort Pierce, FLORIDA 34950",390670
Marion County Sheriff's Office,County,FLORIDA,Marion County,Task Force Model,"Feb 26, 2025","Ocala, FLORIDA 34470",428905
Lake County Sheriff's Office,County,FLORIDA,Lake County,Task Force Model,"Feb 26, 2025","Tavares, FL 32778",444204
Manatee County Sheriff's Office,County,FLORIDA,Manatee County,Task Force Model,"Feb 26, 2025","Bradenton, FLORIDA 34205",458352
Osceola County Sheriff's Office,County,FLORIDA,Osceola County,Task Force Model,"Feb 26, 2025","Kissimmee, FLORIDA 34741",468058
Sarasota County Sheriff's Office,County,FLORIDA,Sarasota County,Task Force Model,"Feb 26, 2025","Sarasota, FLORIDA 34236",476604
Seminole County Sheriff's Office,County,FLORIDA,Seminole County,Task Force Model,"Feb 26, 2025","Sanford, FLORIDA 32771",494605
Volusia County Division of Corrections,County,FLORIDA,Volusia County,Warrant Service Officer,"Feb 26, 2025","DeLand, FLORIDA 32720",602772
Volusia County Sheriff's Office,County,FLORIDA,Volusia County,Task Force Model,"Feb 26, 2025","DeLand, FLORIDA 32720",602772
Pasco County Board of County Commissioners/ Pasco County Corrections,County,FLORIDA,Pasco County,Warrant Service Officer,"Feb 26, 2025","Dade City, FLORIDA 33523",659114
Pasco County Sheriff's Office,County,FLORIDA,Pasco County,Task Force Model,"Feb 26, 2025","Dade City, FLORIDA 33523",659114
Polk County Sheriff's Office,County,FLORIDA,Polk County,Task Force Model,"Feb 26, 2025","Bartow, FLORIDA 33830",852878
Lee County Sheriff's Office,County,FLORIDA,Lee County,Warrant Service Officer,"Feb 26, 2025","Fort Myers, FLORIDA 33902",860959
Pinellas County Sheriff's Office,County,FLORIDA,Pinellas County,Task Force Model,"Feb 26, 2025","Clearwater, FLORIDA 33756",965870
Jacksonville Sheriff's Office,County,FLORIDA,Duval County,Task Force Model,"Feb 26, 2025","Jacksonville, FLORIDA 32202",1055159
Orange County Corrections Department,County,FLORIDA,Orange County,Warrant Service Officer,"Feb 26, 2025","Orlando, FLORIDA 32801",1533646
Orange County Sheriff's Office,County,FLORIDA,Orange County,Task Force Model,"Feb 26, 2025","Orlando, FLORIDA 32801",1533646
Hillsborough County Sheriff's Office,County,FLORIDA,Hillsborough County,Warrant Service Officer,"Feb 26, 2025","Tampa, FLORIDA 33602",1581426
Hillsborough County Sheriff's Office,County,FLORIDA,Hillsborough County,Task Force Model,"Feb 26, 2025","Tampa, FLORIDA 33602",1581426
Palm Beach County Sheriff's Office,County,FLORIDA,Palm Beach County,Warrant Service Officer,"Feb 26, 2025","West Palm Beach, FLORIDA 33401",1582055
Palm Beach County Sheriff's Office,County,FLORIDA,Palm Beach County,Task Force Model,"Feb 26, 2025","West Palm Beach, FLORIDA 33401",1582055
Broward County Sheriff's Office,County,FLORIDA,Broward County,Task Force Model,"Feb 26, 2025","Fort Lauderdale, FL 33312",2037472
Miami-Dade Corrections and Rehabilitation,County,FLORIDA,Miami-Dade County,Warrant Service Officer,"Feb 26, 2025","Miami, FLORIDA 33128",2838461
Miami-Dade Sheriff's Office,County,FLORIDA,Miami-Dade County,Task Force Model,"Feb 26, 2025","Miami, FLORIDA 33128",2838461
Columbia County Sheriff's Office,County,GEORGIA,Columbia County,Jail Enforcement Model,"Feb 26, 2025","Evans, GEORGIA 30809",167472
Gorham Police Department,Municipality,NEW HAMPSHIRE,#N/A,Task Force Model,"Feb 26, 2025","Gorham, NEW HAMPSHIRE",null
Blaine County Sheriff's Office,County,OKLAHOMA,Blaine County,Warrant Service Officer,"Feb 26, 2025","County: Blaine County, OKLAHOMA",8573
Victoria County Sheriff’s Office,County,TEXAS,Victoria County,Warrant Service Officer,"Feb 26, 2025","County: Victoria County, TEXAS",91949
DeWitt County Sheriff’s Office,County,TEXAS,DeWitt County,Warrant Service Officer,"Feb 26, 2025","County: DeWitt County, TEXAS",20252
Campbell County Sheriff's Office,County,WYOMING,Campbell County,Warrant Service Officer,"Feb 26, 2025","Gillette, WYOMING 82718",47946
Pierce County Sheriff's Office,County,GEORGIA,Pierce County,Warrant Service Officer,"Feb 27, 2025","Blackshear, GEORGIA 31516",20669
Bibb County Sheriff's Office,County,GEORGIA,Bibb County,Warrant Service Officer,"Feb 27, 2025","Macon, GEORGIA 31201",157056
Parker County Sheriff's Office,County,TEXAS,Parker County,Warrant Service Officer,"Feb 27, 2025","County: Parker County, TEXAS",179707
Belleair Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Belleair, FLORIDA 33756",4614
Chattahoochee Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Chattahoochee, FLORIDA 32324",3028
Clearwater Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Clearwater, FLORIDA 33756",116811
Gulfport Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Gulfport, FLORIDA 33707",11645
Indian Shores Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Indian Shores, FLORIDA",1190
Kenneth City Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Kenneth City, FLORIDA",4966
Lake Placid Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Lake Placid, FLORIDA",2561
Panama City Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Panama City, FLORIDA",37024
Pinellas Park Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Feb 28, 2025","Pinellas Park, FLORIDA",53503
Springfield Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Feb 28, 2025","Springfield, FLORIDA",8495
St. Augustine Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","St. Augustine, FLORIDA",16033
St. Petersburg Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","St. Petersburg, FLORIDA",267102
Tampa Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Tampa, FLORIDA",414547
Tarpon Springs Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 28, 2025","Tarpon Springs, FLORIDA",26168
Morgan County Sheriff's Office,County,GEORGIA,Morgan County,Warrant Service Officer,"Feb 28, 2025","Madison, GEORGIA 30650",21940
Bossier Parish Sheriff's Office,County,LOUISIANA,Bossier Parish,Jail Enforcement Model,"Feb 28, 2025","County: Bossier Parish, LOUISIANA",131102
Garrett County Sheriff's Office,County,MARYLAND,Garrett County,Warrant Service Officer,"Feb 28, 2025","Garrett County, MARYLAND",28393
Cass County Sheriff's Office,County,MINNESOTA,Cass County,Task Force Model,"Feb 28, 2025","County: Cass County, MINNESOTA",31442
Nassau County Sheriff's Office,County,NEW YORK,Nassau County,Warrant Service Officer,"Feb 28, 2025","County: Nassau County, NEW YORK",1392438
Seneca County Sheriff's Office,County,OHIO,Seneca County,Warrant Service Officer,"Feb 28, 2025","County: Seneca County, OHIO",54730
Seneca County Sheriff's Office,County,OHIO,Seneca County,Task Force Model,"Feb 28, 2025","County: Seneca County, OHIO",54730
Logan County Sheriff's Office,County,OKLAHOMA,Logan County,Jail Enforcement Model,"Feb 28, 2025","County: Logan County, OKLAHOMA",53860
Randall County Sheriff's Office,County,TEXAS,Randall County,Jail Enforcement Model,"Feb 28, 2025","County: Randall County, TEXAS",150547
Jim Wells County Sheriff's Office,County,TEXAS,Jim Wells County,Jail Enforcement Model,"Feb 28, 2025","County: Jim Wells County, TEXAS",38886
Nixon Police Department,Municipality,TEXAS,#N/A,Task Force Model,"Feb 28, 2025","Nixon, TEXAS",2389
Naples Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 3, 2025","Naples, FLORIDA",20168
St. Augustine Beach Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Mar 3, 2025","St. Augustine Beach, FLORIDA",6808
Lee County Sheriff's Office,County,FLORIDA,Lee County,Jail Enforcement Model,"Mar 3, 2025","Fort Myers, FLORIDA 33902",860959
Hamilton County Sheriff's Office,County,INDIANA,Hamilton County,Jail Enforcement Model,"Mar 3, 2025","County: Hamilton County, INDIANA",379704
Ossipee Police Department,Municipality,NEW HAMPSHIRE,#N/A,Task Force Model,"Mar 3, 2025","Ossipee, NEW HAMPSHIRE",null
Pittsburgh Police Department,Municipality,NEW HAMPSHIRE,#N/A,Task Force Model,"Mar 3, 2025","Pittsburgh, NEW HAMPSHIRE",null
Belknap County Sheriff's Office,County,NEW HAMPSHIRE,Belknap County,Task Force Model,"Mar 3, 2025","County: Belknap County, NEW HAMPSHIRE",65257
Washington County Sheriff's Office,County,WISCONSIN,Washington County,Warrant Service Officer,"Mar 3, 2025","Washington County, WISCONSIN",138727
Winnebago County Sheriff's Office,County,WISCONSIN,Winnebago County,Warrant Service Officer,"Mar 3, 2025","County: Winnebago County, WISCONSIN",173307
Arcadia Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Arcadia, FLORIDA 34266",7974
Blountstown Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Blountstown, FLORIDA 32424",2269
Clermont Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Clermont, FLORIDA 34711",50851
Deland Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","DeLand, FLORIDA 32720",45587
Indian River Shores Department of Public Safety,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Indian River Shores Department of Public Safety, FLORIDA",4466
Key West Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Key West, FLORIDA",25240
Marianna Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Marianna, FLORIDA",7975
Palm Beach Gardens Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 5, 2025","Palm Beach Gardens, FLORIDA",63284
Cowley County Sheriff's Office,County,KANSAS,Cowley County,Warrant Service Officer,"Mar 5, 2025","County: Cowley County, KANSAS",34186
Reno County Sheriff's office,County,KANSAS,Reno County,Warrant Service Officer,"Mar 5, 2025","County: Reno County, KANSAS",61417
Grayson County Detention Center,County,KENTUCKY,Grayson County,Warrant Service Officer,"Mar 5, 2025","County: Grayson County, KENTUCKY",27070
Grayson County Detention Center,County,KENTUCKY,Grayson County,Jail Enforcement Model,"Mar 5, 2025","County: Grayson County, KENTUCKY",27070
Grayson County Sheriff’s Office,County,KENTUCKY,Grayson County,Task Force Model,"Mar 5, 2025","County: Grayson County, KENTUCKY",27070
Montana Department of Justice,State,MONTANA,#N/A,Task Force Model,"Mar 5, 2025",MONTANA,1137233
Colebrook Police Department,Municipality,NEW HAMPSHIRE,#N/A,Task Force Model,"Mar 5, 2025","Colebrook, NEW HAMPSHIRE",null
Columbus County Sheriff's Office,County,NORTH CAROLINA,Columbus County,Warrant Service Officer,"Mar 5, 2025","County: Columbus County, NORTH CAROLINA",50054
Rusk County Sheriff's Office,County,TEXAS,Rusk County,Warrant Service Officer,"Mar 5, 2025","County: Rusk County, TEXAS",53391
Coral Gables Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 7, 2025","Coral Gables, FLORIDA 33134",50379
Davie Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 7, 2025","Davie, FLORIDA 33324",112052
Juno Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 7, 2025","Juno Beach, FLORIDA",3969
Palm Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 7, 2025","Palm Beach, FLORIDA",9493
Tequesta Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 7, 2025","Tequesta, FLORIDA",6285
Treasure Island Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 7, 2025","Treasure Island, FLORIDA",6524
Grafton County Sheriff's Office,County,NEW HAMPSHIRE,Grafton County,Task Force Model,"Mar 7, 2025","County: Grafton County, NEW HAMPSHIRE",93045
Dickinson Police Department,Municipality,NORTH DAKOTA,#N/A,Task Force Model,"Mar 7, 2025","Dickinson, NORTH DAKOTA",25695
Sterling Police Department,Municipality,OKLAHOMA,#N/A,Task Force Model,"Mar 7, 2025","Sterling, OKLAHOMA",668
County of Franklin / Franklin County Jail,County,PENNSYLVANIA,Franklin County,Warrant Service Officer,"Mar 7, 2025","County: Franklin County, PENNSYLVANIA",159285
South Carolina Law Enforcement Division,State,SOUTH CAROLINA,#N/A,Task Force Model,"Mar 7, 2025",SOUTH CAROLINA,5478831
Hughes County Sheriff's Office,County,SOUTH DAKOTA,Hughes County,Warrant Service Officer,"Mar 7, 2025","County: Hughes County, SOUTH DAKOTA",17526
Calhoun County Sheriff's Office,County,TEXAS,Calhoun County,Task Force Model,"Mar 7, 2025","County: Calhoun County, TEXAS",19942
Refugio County Sheriff’s Office,County,TEXAS,Refugio County,Warrant Service Officer,"Mar 7, 2025","County: Refugio County, TEXAS",6739
Bedford County Sheriff's Office,County,VIRGINIA,Bedford County,Task Force Model,"Mar 7, 2025","County: Bedford County, VIRGINIA",82182
Sweetwater County Sheriff's Office,County,WYOMING,Sweetwater County,Jail Enforcement Model,"Mar 7, 2025","Rock Springs, WYOMING 82901",41273
Daytona Beach Shores Public Safety,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 10, 2025","Daytona Beach Shores, FLORIDA 32118",5223
Jupiter Inlet Colony Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 10, 2025","Jupiter Inlet Colony, FLORIDA",456
Sunny Isles Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 10, 2025","Sunny Isles, FLORIDA",22903
Tallahassee Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Mar 10, 2025","Tallahassee, FLORIDA",205089
Georgia Department of Public Safety,State,GEORGIA,#N/A,Task Force Model,"Mar 10, 2025",GEORGIA,11180878
Oldham County Detention Center,County,KENTUCKY,Oldham County,Warrant Service Officer,"Mar 10, 2025","County: Oldham County, KENTUCKY",70525
Oldham County Detention Center,County,KENTUCKY,Oldham County,Jail Enforcement Model,"Mar 10, 2025","County: Oldham County, KENTUCKY",70525
Daviess County Sheriff's Office,County,KENTUCKY,Daviess County,Warrant Service Officer,"Mar 10, 2025","County: Daviess County, KENTUCKY",104457
Daviess County Sheriff's Office,County,KENTUCKY,Daviess County,Task Force Model,"Mar 10, 2025","County: Daviess County, KENTUCKY",104457
Washington County Sheriff's Office,County,MARYLAND,Washington County,Warrant Service Officer,"Mar 10, 2025","County: Washington County, MARYLAND",157228
Mineral County Sheriff's Office,County,NEVADA,Mineral County,Warrant Service Officer,"Mar 10, 2025","County: Mineral County, NEVADA",4475
Broome County Sheriff's Office,County,NEW YORK,Broome County,Warrant Service Officer,"Mar 10, 2025","County: Broome County, NEW YORK",196397
Nassau County Police Department,County,NEW YORK,Nassau County,Task Force Model,"Mar 10, 2025","County: Nassau County, NEW YORK",1392438
Cherokee County Sheriff's Office,County,NORTH CAROLINA,Cherokee County,Warrant Service Officer,"Mar 10, 2025","County: Cherokee County, NORTH CAROLINA",30373
Craven County Sheriff's Office,County,NORTH CAROLINA,Craven County,Warrant Service Officer,"Mar 10, 2025","County: Craven County, NORTH CAROLINA",104167
Dunn County Sheriff's Office,County,NORTH DAKOTA,Dunn County,Warrant Service Officer,"Mar 10, 2025","County: Dunn County, NORTH DAKOTA",4031
Dunn County Sheriff's Office,County,NORTH DAKOTA,Dunn County,Task Force Model,"Mar 10, 2025","County: Dunn County, NORTH DAKOTA",4031
Franklin County Sheriffs Office,County,PENNSYLVANIA,Franklin County,Task Force Model,"Mar 10, 2025","County: Franklin County, PENNSYLVANIA",159285
Chester County Sheriff's Office,County,SOUTH CAROLINA,Chester County,Warrant Service Officer,"Mar 10, 2025","County: Chester County, SOUTH CAROLINA",32323
Charleston County Sheriff's Office,County,SOUTH CAROLINA,Charleston County,Warrant Service Officer,"Mar 10, 2025","County: Charleston County, SOUTH CAROLINA",431001
Titus County Sheriff's Office,County,TEXAS,Titus County,Warrant Service Officer,"Mar 10, 2025","County: Titus County, TEXAS",31547
